pais;ano;gastos_privados_cie_tec;;;;;;;;;;;
Brazil;2000;7.189,30;;;;;;;;;;;
Brazil;2001;8.102,60;;;;;;;;;;;
Brazil;2002;9.761,30;;;;;;;;;;;
Brazil;2003;11.180,50;;;;;;;;;;;
Brazil;2004;12.849,10;;;;;;;;;;;
Brazil;2005;14.582,40;;;;;;;;;;;
Brazil;2006;14.782,30;;;;;;;;;;;
Brazil;2007;17.697,30;;;;;;;;;;;
Brazil;2008;22.308,10;;;;;;;;;;;
Brazil;2009;24.498,40;;;;;;;;;;;
Brazil;2010;29.444,60;;;;;;;;;;;
Brazil;2011;32.814,40;;;;;;;;;;;
Brazil;2012;36.387,40;;;;;;;;;;;
Brazil;2013;37.742,00;;;;;;;;;;;
Brazil;2014;45.914,90;;;;;;;;;;;
Brazil;2015;48.539,70;;;;;;;;;;;
Brazil;2016;41.717,30;;;;;;;;;;;
Brazil;2017;35.294,90;;;;;;;;;;;
Brazil;2018;41.998,40;;;;;;;;;;;
Brazil;2019;50.721,30;;;;;;;;;;;
Brazil;2020;43.112,90;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
